link,Running Time,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Production Budget,MPAA Rating,Production/Financing Companies,Franchise
https://www.the-numbers.com/movie/Haevnen#tab=summary,113 minutes,Drama,Live Action,Contemporary Fiction,"Denmark,Sweden,United States","Danish,Swedish","April 01, 2011","$5,500,000","Rfor violent and disturbing content some involving preteens, and for language.(Rating bulletin 2151, 12/15/2010)","Swedish Film Institute,Zentropa Entertainments,DR,DFI,Film i Vast,SVT,FilmFyn,NFTF,Memfis Film,Millennium Films,Nu Image,Dark Harbor Stories",
https://www.the-numbers.com/movie/Anonymous-(2011)#tab=summary,130 minutes,Drama,Live Action,Historical Fiction,"United States,Germany",English,"October 28, 2011","$27,500,000","PG-13or some violence and sexual content.(Rating bulletin 2187, 8/31/2011)","Columbia Pictures,Relativity Media,Centropolis Entertainment,Studio Babelsberg",
https://www.the-numbers.com/movie/Blitz#tab=summary,,Thriller/Suspense,Live Action,Contemporary Fiction,United Kingdom,English,,,"Rfor strong brutal violence, language, some drug use and nudity.(Rating bulletin 2136, 9/1/2010)","Lionsgate UK,Davis Films,Current Entertainment,Kushner/Wyman Productions",
https://www.the-numbers.com/movie/Double-Dhamaal#tab=summary,138 minutes,Comedy,Live Action,Contemporary Fiction,India,Hindi,"June 24, 2011",,Not Rated,,Dhamaal
https://www.the-numbers.com/movie/Murder-2#tab=summary,130 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,India,"Hindi,English",,,,,Murder
https://www.the-numbers.com/movie/Paradaisu-Kisu#tab=summary,,Drama,Live Action,Contemporary Fiction,Japan,Japanese,,,,,
https://www.the-numbers.com/movie/Baaria#tab=summary,,,,,Italy,"Italian,Sicilian",,,,,
https://www.the-numbers.com/movie/Dangerous-Method-A#tab=summary,99 minutes,Drama,Live Action,Dramatization,"Canada,Germany",English,"November 23, 2011","$20,000,000","Rfor sexual content and brief language.(Rating bulletin 2185, 8/17/2011)","Lago Film,Prospero Pictures,Recorded Picture Company",
https://www.the-numbers.com/movie/emotifs-anonymes-Les#tab=summary,,Drama,Live Action,Contemporary Fiction,"France,Belgium",French,"November 25, 2011",,,,
https://www.the-numbers.com/movie/Case-depart#tab=summary,,Comedy,Live Action,Contemporary Fiction,France,French,,,,,
